 What member of the animal kingdom is responsible for the most human deaths each year?,Shark,Tiger,Mosquito,Mosquito
 Name the only animal that cannot jump?,Elephant,Lemur,Camel,Elephant
" Ireland is renowned for its great horse racing, in what county will you find the Irish National Stud?",Dublin,Kildare,Meath,Kildare
 Which European player hold the record for most appearances and points earned in a Ryder Cup?,Tiger Woods,Nick Faldo,Lee Westwood,Nick Faldo
" The Grand National is held in April of every year at Aintree Racecourse, but what city is Aintree in?",Manchester,Liverpool,Bristol,Liverpool
" Prior to Usain Bolt, who was the last man to win the sprint doubles of the 100mtes and 200mtes?",Daily Thomson,Steve Davies,Carl Lewis,Carl Lewis
 What county in Northern Ireland does golfer Rory McIlroy come from?,Armagh,Down,Derry,Down
 What is the name of Munster Rugby’s main home ground,Hide Park,Thomand Park,Aviva Stadium,Thomand Park
 What year did Meath last win the All Ireland Football final,1988,1996,2001,2001
 Which Irish cyclist won the 1987 Tour De France,Sean Kelly,Stephen Roche,Dan Martin,Stephen Roche
" This Czech-born tennis player has won 18 Grand Slam singles titles, Can you name this player?",Iveta Benešová,Martina Navratilova,Steffi Graph,Martina Navratilova
  Stephanie Roche was a finalist for the FIFA Puskas Award but in what year?,2011,2014,2018,2014
 Who won the 2019 All Ireland Hurling Final?,Cork,Kerry,Tipperary,Tipperary
" What is the name of the most successful racehorse of all time in the Aintree Grand National, winning three times – 1973, 1974 and 1977",Shergar,Red Rum,Papillon,Red Rum
" Which film starring Morgan Freeman has the famous line “Fear can hold you prisoner, hope can set you free ” ",Snakes on a Plane,Shawshank Redemption,The Shining,Shawshank Redemption
 The Martin Scorsese film Raging Bull is a biography of which boxer?,Jake La Motta,Joe Frazier,Muhammad Ali,Jake La Motta
"  In the hit series Breaking Bad, who played the main character Walter White?",Tom Hanks,Marlon Brando,Brian Cranston,Brian Cranston
 In which American city was the US crime drama The Wire set?,Baltimore,New York,Miami,Baltimore
 Which TV comedy series follows the lives of employees at the Sacred Heart Teaching Hospital?,Holby City,Casualty,Scrubs,Scrubs
" In the hit sitcom Friends, what is the name of Joey’s agent?",Ester,Estelle,Elisabet,Estelle
 How many contestants are at the start of the UK TV show The Chase?,3,4,5,4
 What is the acronym used for the police unit in Line of Duty?,ICU2,AC12,4U2P,AC12
 In what year did The X Factor first hit our screens?,2004,2005,2006,2004
 Which character says “Yeah but no but yeah but” in Little Britian?,Andy,Lue,Vicky Pollard,Vicky Pollard
" In The Matrix, does Neo take the blue pill or the red pill?",Red pill,Blue Pill,None,Red pill
" In Game of Thrones, Master of Coin Lord Petyr Baelish was also known by what name?",Bigfinger,Littlefinger,Nofinger,Littlefinger
 What is the title of the fourth Harry Potter film?,Harry Potter and the Goblet of Fire,Harry Potter and the Philosopher's Stone,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire
 What is the name of the parallel universe experienced in TV series Stranger Things?,The Inside Up,The Upside Down,The Downside  Up,The Upside Down
" In Game of Thrones, what is the name of Jon Snow’s Direwolf?",Ghost,Coast,Rover,Ghost
 “Suit you Sir” came from which comedy programme?,The Fast Show,Father Ted,Little Britton,The Fast Show
  What is the logo on a Blue Peter badge?,Car,House,Ship,Ship
 What fashion fad did the 1983 film Flashdance make popular?,Braces,Leg warmers,Hair Bands,Leg warmers
 Most standard pairs of jeans come with 5 of what?,Labels,Holes,Pockets,Pockets
 What birthstone is associated with the month of April?,Diamond,Saphire,Gold,Diamond
 Name a type of material made from flax?,Linen,Lycra,Silk,Linen
" What is the common name for women’s knee-length trousers, cut with full legs to resemble a skirt?",Leggins,Culottes,3/4 Lenghts,Culottes
" The four fashion capitals of the 20th century were considered to be Paris, London, New York and which other missing city?",Dublin,Miami,Milan,Milan
 What is the term given to a skirt that is worn by men?,Milt,Kilt,Tilt,Kilt
 Which animal is associated with the Hollister logo?,Bird,Cat,Tiger,Bird
 In which year was the sporting brand Nike formed?,1963,1964,1965,1964
